@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
48,'2018/02/16 19:22:38:209',3,0.608385,-0.526811,0.232089,0.016842,0.136642,-0.055559,-0.099743,-0.151459,0.179643,0.478939,0.513438,0.665679,0.042125,3
49,'2018/02/16 19:22:38:378',3,0.594206,-0.529774,0.30233,-0.021648,0.139311,-0.030903,-0.199888,-0.110405,0.175821,0.451731,0.558154,0.658839,-0.008943,3
50,'2018/02/16 19:22:38:552',3,0.619963,-0.517926,0.227723,-0.056594,0.103975,-0.021185,-0.13059,-0.10446,0.193727,0.387173,0.542508,0.668208,-0.000134,3
51,'2018/02/16 19:22:38:712',3,0.604597,-0.534046,0.299031,0.013521,0.141884,-0.046692,-0.197213,-0.101812,0.157759,0.465118,0.563653,0.647524,0.010048,3
52,'2018/02/16 19:22:38:879',3,0.603961,-0.553539,0.255218,0.034942,0.109568,-0.077224,-0.127215,-0.055729,0.132609,0.450888,0.588326,0.652502,0.012669,3
53,'2018/02/16 19:22:39:045',3,0.654188,-0.429326,0.432142,0.135691,0.211912,-0.033407,-0.107048,-0.112325,0.123753,0.428291,0.579409,0.619079,-0.05247,3
54,'2018/02/16 19:22:39:215',3,0.273346,-0.375742,0.001669,0.052865,0.151638,0.124401,-0.026052,0.020012,0.24939,0.395176,0.438674,0.518677,0.148262,3
55,'2018/02/16 19:22:39:380',3,0.55655,-0.551513,0.320151,0.014712,0.119995,-0.055922,-0.181833,-0.157862,0.172393,0.455542,0.59419,0.713406,-0.044322,3
56,'2018/02/16 19:22:43:028',4,0.172786,0.256261,0.902398,0.200407,0.309799,0.204309,0.264449,0.395898,0.381738,0.306212,0.399556,0.217975,0.328385,4
57,'2018/02/16 19:22:43:207',4,0.073892,0.154949,0.804243,0.195827,0.364156,0.279996,0.257983,0.470979,0.522534,0.352213,0.401663,0.269713,0.310029,4
58,'2018/02/16 19:22:43:374',4,0.192419,0.243735,0.753506,0.097479,0.279111,0.166454,0.291213,0.378118,0.342158,0.287285,0.344112,0.27022,0.562924,4
59,'2018/02/16 19:22:43:546',4,0.251559,0.316496,1.037855,0.244115,0.522792,0.18047,0.052013,0.265536,0.362724,0.242426,0.42213,0.290375,0.253707,4
60,'2018/02/16 19:22:43:713',4,0.660548,-0.6,0.104789,-0.077832,0.205139,0.249565,0.450356,0.168157,0.366811,0.291106,0.445735,0.281821,0.081695,4
61,'2018/02/16 19:22:43:880',4,0.623589,-0.458737,0.316602,-0.045762,0.139852,-0.070662,-0.099503,-0.09447,0.243763,0.660498,0.604019,0.359999,-0.149956,4
62,'2018/02/16 19:22:44:049',4,0.68506,-0.433818,0.292208,-0.114268,0.131204,-0.083543,-0.057292,-0.078401,0.247984,0.633632,0.517642,0.363846,-0.104234,4
63,'2018/02/16 19:22:44:227',4,0.509257,-0.575258,0.180153,-0.141039,0.122159,-0.047022,-0.096734,-0.026847,0.225095,0.695698,0.599051,0.357568,-0.09186,4
64,'2018/02/16 19:22:44:393',4,0.518113,-0.475734,0.251431,-0.023759,0.134241,-0.064517,-0.218917,-0.074384,0.237965,0.712446,0.578089,0.336822,-0.103683,4
65,'2018/02/16 19:22:44:560',4,0.525363,-0.477149,0.243567,-0.022797,0.185436,0.004441,-0.130498,-0.019932,0.202816,0.69834,0.556605,0.332573,-0.158163,4
66,'2018/02/16 19:22:44:727',4,0.341243,-0.698925,0.123566,-0.082815,0.128072,-0.087934,-0.205263,-0.052533,0.245872,0.783762,0.602261,0.408093,-0.047651,4
67,'2018/02/16 19:22:44:899',4,0.340606,-0.69066,0.147116,-0.077742,0.197471,-0.057044,-0.162845,-0.018652,0.268388,0.7875,0.595987,0.454698,-0.028861,4
68,'2018/02/16 19:22:45:067',4,0.297145,-0.685946,0.132288,-0.040088,0.173085,-0.038538,-0.180525,-0.048535,0.290225,0.79812,0.634932,0.46701,-0.079789,4
69,'2018/02/16 19:22:45:234',4,0.660493,-0.242055,0.422621,0.106973,0.25446,0.02657,-0.188133,-0.070097,0.217619,0.628543,0.477665,0.237898,-0.220409,4
70,'2018/02/16 19:22:45:398',4,0.397565,-0.478447,0.243641,0.119912,0.217197,-0.007734,-0.179118,0.006487,0.251147,0.75424,0.607521,0.378701,-0.160834,4
71,'2018/02/16 19:22:45:562',4,0.383509,-0.570174,0.200013,-0.026773,0.230644,0.058838,-0.133099,-0.023507,0.303003,0.711168,0.57294,0.407352,-0.06535,4
72,'2018/02/16 19:22:45:729',4,0.39625,-0.402713,0.267195,0.120782,0.230615,0.011786,-0.142551,-0.054083,0.278661,0.749995,0.582134,0.334531,-0.173657,4
73,'2018/02/16 19:22:45:896',4,0.378986,-0.617125,0.203342,-0.066216,0.194588,-0.067921,-0.202656,-0.007218,0.28036,0.805578,0.673533,0.439624,-0.08542,4
74,'2018/02/16 19:22:46:063',4,0.312501,-0.679703,0.140551,-0.085656,0.182629,-0.034656,-0.192591,-0.022882,0.268432,0.763661,0.649323,0.457919,-0.068408,4
75,'2018/02/16 19:22:46:229',4,0.399401,-0.446295,0.203266,0.072081,0.271876,0.137368,0.020284,0.047592,0.20458,0.598129,0.490247,0.307015,-0.110182,4
76,'2018/02/16 19:22:46:395',4,0.252066,-0.627576,0.046753,-0.061521,0.133744,0.025669,-0.044432,0.002873,0.205609,0.652311,0.524594,0.436779,-0.012089,4
100,'2018/02/16 19:25:14:830',6,-0.077526,0.015721,0.915409,0.175649,0.457168,0.4059,0.459375,0.362355,0.230703,0.213959,0.294434,0.456891,0.434436,5
101,'2018/02/16 19:25:15:359',6,0.632521,-0.638771,0.242913,-0.130595,0.264594,0.371149,0.493702,0.134485,0.279501,0.394515,0.363496,0.23531,0.09957,5
102,'2018/02/16 19:25:15:890',6,0.580167,-0.564877,0.201495,-0.123845,0.010636,0.042097,-0.081751,0.03025,0.565992,0.750458,0.407752,0.126384,-0.137759,5
103,'2018/02/16 19:25:16:395',6,0.56263,-0.447592,0.346001,0.122251,0.101134,0.029211,-0.135478,0.004458,0.598064,0.723856,0.356846,0.04888,-0.270539,5
104,'2018/02/16 19:25:16:914',6,0.373959,-0.570052,0.243326,0.194893,0.481199,0.226351,0.193539,0.279632,0.340414,0.380535,0.212028,0.166114,0.125856,5
105,'2018/02/16 19:26:16:893',7,0.112812,0.226425,0.71122,-0.036879,0.392609,0.401648,0.200756,0.307252,0.355728,0.270748,0.315328,0.465464,0.486666,1
106,'2018/02/16 19:26:17:393',7,-0.178047,-0.021641,0.977992,0.409691,0.517344,0.291405,0.260338,0.324679,0.528404,0.480968,0.516912,0.39739,0.271833,1
107,'2018/02/16 19:26:17:893',7,-0.034027,0.169377,0.991169,0.315835,0.550812,0.321974,0.398412,0.38496,0.227951,0.205526,0.195285,0.324078,0.383241,1
108,'2018/02/16 19:26:18:394',7,0.028395,0.086732,0.762073,0.181563,0.360467,0.319005,0.4223,0.331828,0.317834,0.356382,0.32818,0.415933,0.394932,1
109,'2018/02/16 19:26:18:893',7,-0.05025,0.057727,0.87969,0.18523,0.499163,0.333224,0.383865,0.531467,0.324531,0.364769,0.252844,0.228116,0.290309,1
110,'2018/02/16 19:26:19:393',7,-0.012274,0.247383,0.95602,0.231334,0.629465,0.304952,0.07092,0.30572,0.368704,0.420756,0.45815,0.363294,0.304543,1
111,'2018/02/16 19:26:19:895',7,0.312113,0.371478,0.837439,0.05199,0.228411,0.018072,-0.011,0.269541,0.40876,0.279306,0.332126,0.286696,0.392886,1
112,'2018/02/16 19:26:20:398',7,0.213412,0.232786,0.764349,0.231285,0.445195,0.232249,0.140122,0.357642,0.297472,0.301594,0.504713,0.30817,0.251716,1
113,'2018/02/16 19:26:20:915',7,0.064775,0.167194,0.866378,0.175023,0.609343,0.237912,0.142757,0.336512,0.322225,0.326984,0.464324,0.405187,0.276993,1
114,'2018/02/16 19:26:21:408',7,0.176127,0.282511,0.906816,0.122682,0.271466,0.327832,0.394674,0.42587,0.312981,0.274331,0.256301,0.391425,0.339716,1
